all_preds_reg,all_preds_cls,all_labels_cls,all_labels_reg,premise,entailment
3.490605,2,0,3.0,A group of children is playing in the house and there is no man standing in the background,The young boys are playing outdoors and the man is smiling nearby
4.158439,1,0,3.665,A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants
2.871859,2,0,2.7,A brown dog is attacking another animal in front of the man in pants,There is no dog wrestling and hugging
4.2765656,1,0,3.0,A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket
3.4180748,0,2,3.9,The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background
3.3460925,0,2,3.5,There is no man dunking the ball at a basketball game,The player is dunking the basketball into the net and a crowd is in background
3.482491,0,1,4.4,Two people are kickboxing and spectators are watching,Two people are fighting and spectators are watching
4.8409934,1,0,4.0,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching
3.5406148,2,0,3.3,There is no child lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and making snow angels
4.392163,1,0,2.9,A little girl is looking at a woman in costume,A little girl in costume looks like a woman
3.6569214,0,1,4.8,A man is jumping into an empty swimming pool,A man is jumping into an empty pool
4.490518,1,0,4.0,Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors
4.0396085,0,1,4.3,Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors
3.221185,0,1,4.7,Two groups of people are playing football,Two teams are competing in a football match
4.4960556,1,0,4.2,A deer is jumping over the enclosure,A deer is jumping a fence
3.690403,0,1,3.8,Several people are in front of a building which is covered by colors,People are walking outside a building that has many murals on it
2.1388733,0,2,3.8,A child is hitting a baseball,A child is missing a baseball
4.419135,1,0,3.7,A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball
3.744606,0,1,4.2,A family is watching a little boy who is hitting a baseball,A boy is hitting a baseball
3.9570308,0,1,4.1,A family is watching a little boy who is hitting a baseball,A child is hitting a baseball
4.001353,1,0,3.4,A large group of Asian people is eating at a restaurant,A small group of people is waiting to eat in a restaurant
4.0083942,1,0,3.5,A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating
4.3193817,1,0,3.6,A rider is on a black and white bike and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle
4.3319173,1,0,3.7,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle
3.5266314,0,1,4.0,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway
3.3371794,0,2,3.3,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist with a red helmet is riding a blue motorcycle down the road
3.505332,0,1,4.5,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway
3.9099956,0,1,4.2,A dog is catching a stick in the air and another is watching,A dog is leaping high in the air and another is watching
4.404068,1,0,3.9,The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment
4.5806174,1,0,3.9,A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress
4.417679,1,0,3.7,The black woman is wearing glasses over the headdress,The woman is wearing glasses and a black headdress
3.2151754,0,2,3.6,The woman is not wearing glasses or a headdress,A woman is wearing an Egyptian headdress
4.148373,1,0,2.8,A cowgirl is riding a barrel near a horse in the corner,A cowgirl is riding a horse and corners a barrel
4.6621714,1,0,3.6,A boy is standing outside the water,A boy is standing in the water
4.395779,1,0,4.2,The kid is swimming through the blue ocean,The boy is wading through the blue ocean
4.1331677,0,1,4.7,A person has blonde and flyaway hair and is playing a guitar,A guitarist has blonde and flyaway hair
4.422836,1,0,3.8,Two girls are lying on the ground,Two girls are sitting on the ground
4.1959376,1,0,3.1,"A man, a woman and two girls are walking on the beach","A man, a woman and two girls are sitting on the beach"
4.031449,0,1,4.4,"A man, a woman and two girls are sitting on the beach",A group of people is on a beach
3.8230674,0,1,3.8,"A man, a woman and two girls are walking on the beach",A group of people is near the sea
4.498007,1,0,3.2,A dog is chasing another and is holding a stick in its mouth,A dog is chasing a stick and holding another dog in its mouth
4.092945,1,0,3.8,A dirty soccer ball is rolling into a goal net,A soccer player is kicking a ball into the goal
2.9420965,2,0,2.8,A soccer player is kicking a ball into the goal,A soccer ball is not rolling into a goal net
4.3301764,1,0,4.0,A white and tan dog is running through a field,A brown and white dog is running through the tall grass
4.4859276,1,0,3.6,A brown and white dog is moving through the wild grass,A white and tan dog is running through the tall and green grass
3.855075,1,0,3.5,Some people are walking,Some people are standing
3.1514487,0,1,3.6,A group of scouts are hiking through the grass,People are walking
3.0948043,0,1,4.1,A group of explorers are walking through the grass,Some people are walking
3.6898744,0,1,4.7,Two men are holding bikes and standing on the side of a road covered of snow,Two men with bikes are on the side of a snowy road
4.4123545,1,0,3.6,Two men are holding some water standing near fishing poles,Two men are standing near the water and are holding fishing poles
2.794961,0,1,4.6,A lady is surfing and riding a wave,A woman is surfing
3.6366994,0,1,4.6,Two children and an adult are standing next to a tree limb,Three people are standing next to a tree limb
3.934504,0,1,4.2,Two children are hanging on a large branch,Two children are climbing a tree
4.4271483,1,0,3.5,A black man in green is riding a bike,A man dressed in black is riding a bike
3.2708478,0,2,4.085,A child is holding a squirt gun,There is no child holding a water gun or getting sprayed with water
3.6858416,0,1,4.5,A laughing child is holding a water gun and getting sprayed with water,A child is holding a squirt gun
3.163115,2,0,3.0,A man wearing a dyed black shirt is sitting at the table and laughing,A man isn't sitting comfortably at the table
4.2475533,1,0,2.9,A dog that has a brown and white coat is trotting through shallow water,A brown and white coat is floating across shallow water near a trotting dog
4.190981,1,0,3.8,A white and brown dog is pacing through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water
3.3200774,2,0,3.1,A dog that has a brown and white coat is trotting through shallow water,There is no white and brown dog pacing with through the water difficulty
4.3874755,1,0,4.0,A dog that has a white and brown colored coat is trotting through shallow water.,A white and brown dog is walking through the water with difficulty
4.247304,1,0,2.5,A white and brown dog is walking through the water with difficulty,A brown and white coat is floating across shallow water near a trotting dog
4.1704555,1,0,3.7,A white and brown dog is walking through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water
4.0930715,1,0,3.6,A group of boys are playing with a ball in front of a large door made of wood,A ball made of wood is being played through a door in front of a large group of boys 
3.648617,0,1,3.8,A group of boys are playing with a ball in front of a large door made of wood,"The children are playing in front of a door, which is very large"
3.7234824,0,1,4.2,A group of boys are playing with a ball in front of a large door made of wood,The children are playing in front of a large door
